Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-30,Remy,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),Adopted,1/3/2013,Stray,9/3/2019,Adoption,246,238,9
GPG-A-32,Dory,Dog,"Shepherd, German",Adult Dog (6 months+),Euthanasia,1/26/2014,Stray,3/31/2020,Euthanasia,456,238,9
GPG-A-34,Pumpkin,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,2/1/2015,Stray,7/9/2020,Adoption,556,238,319
GPG-A-35,Cowboy,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,10/10/2015,Stray,12/4/2019,Adoption,338,238,98
GPG-A-37,Connor,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/16/2016,Owner/Guardian Surrender,5/26/2020,Adoption,512,238,275
GPG-A-38,Reilly,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/18/2016,Transfer In,2/12/2020,Adoption,408,242,171
GPG-A-39,Ivy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,8/24/2016,Owner/Guardian Surrender,5/21/2020,Adoption,507,238,270
GPG-A-40,Lefty,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/10/2017,Transfer In,12/30/2019,Adoption,364,238,127
GPG-A-33,Bowie,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,3/20/2017,Transfer In,8/24/2020,Adoption,602,246,365
GPG-A-42,Tinkerbell,Dog,"Terrier, Staffordshire Bull",Adult Dog (6 months+),Adopted,8/13/2017,Stray,6/23/2020,Adoption,540,241,302
GPG-A-44,Sonnie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/16/2017,Transfer In,9/9/2019,Adoption,252,238,15
GPG-A-45,Lilly,Dog,Boxer,Adult Dog (6 months+),Adopted,1/3/2018,Transfer In,10/4/2019,Adoption,277,242,40
GPG-A-46,Tiffanie,Dog,"Malinois, Belgian",Adult Dog (6 months+),Adopted,1/15/2018,Owner/Guardian Surrender,12/4/2019,Adoption,338,238,101
GPG-A-47,Percy,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,1/25/2018,Transfer In,9/17/2019,Adoption,260,238,22
GPG-A-49,Renoir,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,2/20/2018,Owner/Guardian Surrender,9/21/2019,Adoption,264,238,27
